autor,video,peso,autor_nombre,video_titulo,canal
UC-HeUTT6_g-VoiWds2a4H-w,6W4u8sGEnGM,1,@JorgeMunoz-gd9et,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
UC-Iul5tDYH_oiAMXQH-KaaQ,6W4u8sGEnGM,1,@AlbertoMancilla-p9h,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
UC-QOpE7GOxlXcHZ8b7HbQKA,OkXlHx0hx-8,2,@mariaalexander427,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo
UC-fiZBS5Gp1eCJd9ucgWnCg,j43HgwYFKfk,1,@Tommii.10,La cooptación de Walter Mazariegos en la USAC,Quorum
UC-hfX8J5JPJ-dfuakzegMLA,n8iP75gIpmw,1,@normaleticiaorozcojuarez2418,Qué rico come tu diputado,Quorum
UC-jS_kA9w-OmpupXDx156Rg,n8iP75gIpmw,1,@simoncreyesc7579,Qué rico come tu diputado,Quorum
UC-pNP6RMFuLg_-x7Ah_0kEA,n8iP75gIpmw,1,@almacatalan2717,Qué rico come tu diputado,Quorum
UC094EFEmMSdwVa8NQjjYBXg,b_Hkrkl3adA,1,@CelestinoQuej-j7k,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
UC0HvfEWozTHbwl_iEmJNvVA,6W4u8sGEnGM,1,@OttoPalencia-b7r,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
UC0RpuMwkDKJYqgKHtsJRuWQ,lj983NWyAQY,1,@sabinamarinaguerra3248,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
UC0aEyakBPqcBkVJiErfSupQ,lj983NWyAQY,1,@jhonymanuel9891,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
UC14qlobYKqD-DO0j6b75lcA,6W4u8sGEnGM,1,@megavision4488,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
UC1DpqK6vaPEkBOMNvypsKYg,j43HgwYFKfk,1,@HectorCarranza-u4j4o,La cooptación de Walter Mazariegos en la USAC,Quorum
UC1NiEdJ7gk6FlDexIalWnGg,6W4u8sGEnGM,1,@BorisTebalán,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
UC1WlJfQmaIskYhP4gmWoamw,OkXlHx0hx-8,1,@marthareiss5434,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo
UC1Y7x3h0c95Z8kUhi-Tzaeg,PjmxCj-a9Hg,1,@rosadiaz9235,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala
UC1vr9aaMI2crB0NvwFHUeoQ,n8iP75gIpmw,1,@JoseSimilox-p6e,Qué rico come tu diputado,Quorum
UC2Y_EHWQKevubk4vOEBBFxw,n8iP75gIpmw,1,@alfonsomorales2653,Qué rico come tu diputado,Quorum
UC2ngpd8UBQu4gcUYy0goAtg,06mFNPU0aB8,1,@juliohernandez7438,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7
UC2weSE8rpqkGMOp6StYtVfg,n8iP75gIpmw,1,@katerynsantiago2907,Qué rico come tu diputado,Quorum
UC32oozucwCF3q8d4m8fyOUg,j43HgwYFKfk,1,@RauldejesusOlivagonzalez,La cooptación de Walter Mazariegos en la USAC,Quorum
UC3E9mAgP7VoAE5mZoAexl5g,n8iP75gIpmw,1,@EnnioAroche,Qué rico come tu diputado,Quorum
UC3MYTqpQqlWBuCB7Th0e0PA,n8iP75gIpmw,1,@isaaclopez7220,Qué rico come tu diputado,Quorum
UC3NMzdMYryaw82kPTnsaljg,n8iP75gIpmw,1,@marisosa7832,Qué rico come tu diputado,Quorum
UC3UVO7pTbeYvZ3ILEyRDskQ,j43HgwYFKfk,1,@rosaelenaargueta79,La cooptación de Walter Mazariegos en la USAC,Quorum
UC3XTwHxygNCgjndsg-UiCQA,n8iP75gIpmw,3,@marioajset4283,Qué rico come tu diputado,Quorum
UC3YpzAr7pcdKC7BVFEpYzog,6W4u8sGEnGM,1,@carmenfigueroa1232,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
UC3iIU62XKUOWuqL8BqBzj9A,b_Hkrkl3adA,1,@antonioduarte2288,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
UC3qn1yJA5PeW9rkGPatQxiw,n8iP75gIpmw,1,@VICTOREST19,Qué rico come tu diputado,Quorum
UC4Avya4kmR4Q0FrfFdBozSQ,j43HgwYFKfk,1,@davidlima1348,La cooptación de Walter Mazariegos en la USAC,Quorum
UC4cXueR2bKGFJV0Fk76gwmA,n8iP75gIpmw,1,@aluxdel4792,Qué rico come tu diputado,Quorum
UC4kg7zuTfqQKLd2bkZrSYBA,is3Mk5oC19g,1,@zoilagarcia9019,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala
UC4wq3DcbfaG6dtCqn8Oyu3w,n8iP75gIpmw,1,@hugoasencio7764,Qué rico come tu diputado,Quorum
UC5H8ASmMC9WrURmzeB4ySog,n8iP75gIpmw,5,@ManuelEdran,Qué rico come tu diputado,Quorum
UC5PrBbmUlQolwqmiru7yZhw,b_Hkrkl3adA,1,@lazarochavez8269,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
UC5PyGvSfFM--OVKmQ3COu6g,lj983NWyAQY,1,@FreddyGmez,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
UC5bG9nc_JV3FsNP2KseQiYw,n8iP75gIpmw,1,@giovannirodas4836,Qué rico come tu diputado,Quorum
UC5fvhAfm89JH8eDFdvc0xYw,lj983NWyAQY,1,@isaidiaz2388,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
UC5hvEnRUzI4Kfvwnyi4QxqQ,j43HgwYFKfk,1,@leonelsantizo5281,La cooptación de Walter Mazariegos en la USAC,Quorum
UC5wuDq3U3vRAhOQI3D7gNdw,ndAZjHqzzT8,1,@allanreneramirezgonzalez534,Internet: escoger el menos malo,Quorum
UC63tFvbQ_hJhGDi2nbjssjw,6W4u8sGEnGM,1,@AbigailRodas-w2r,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
UC650pRT-OYzny3GwOH8Cgfw,n8iP75gIpmw,1,@edvinparedesherrera7632,Qué rico come tu diputado,Quorum
