id,tipo,etiqueta,canal,categoria,vistas,n_comentarios,likes_recibidos,grado,grado_ponderado
UC-HeUTT6_g-VoiWds2a4H-w,autor,@JorgeMunoz-gd9et,,,,1,0.0,1,1
UC-Iul5tDYH_oiAMXQH-KaaQ,autor,@AlbertoMancilla-p9h,,,,1,1.0,1,1
UC-QOpE7GOxlXcHZ8b7HbQKA,autor,@mariaalexander427,,,,2,0.0,1,2
UC-fiZBS5Gp1eCJd9ucgWnCg,autor,@Tommii.10,,,,1,6.0,1,1
UC-hfX8J5JPJ-dfuakzegMLA,autor,@normaleticiaorozcojuarez2418,,,,1,6.0,1,1
UC-jS_kA9w-OmpupXDx156Rg,autor,@simoncreyesc7579,,,,1,2.0,1,1
UC-pNP6RMFuLg_-x7Ah_0kEA,autor,@almacatalan2717,,,,1,5.0,1,1
UC094EFEmMSdwVa8NQjjYBXg,autor,@CelestinoQuej-j7k,,,,1,0.0,1,1
UC0HvfEWozTHbwl_iEmJNvVA,autor,@OttoPalencia-b7r,,,,1,3.0,1,1
UC0RpuMwkDKJYqgKHtsJRuWQ,autor,@sabinamarinaguerra3248,,,,1,113.0,1,1
UC0aEyakBPqcBkVJiErfSupQ,autor,@jhonymanuel9891,,,,1,70.0,1,1
UC14qlobYKqD-DO0j6b75lcA,autor,@megavision4488,,,,1,0.0,1,1
UC1DpqK6vaPEkBOMNvypsKYg,autor,@HectorCarranza-u4j4o,,,,1,0.0,1,1
UC1NiEdJ7gk6FlDexIalWnGg,autor,@BorisTebalán,,,,1,0.0,1,1
UC1WlJfQmaIskYhP4gmWoamw,autor,@marthareiss5434,,,,1,2.0,1,1
UC1Y7x3h0c95Z8kUhi-Tzaeg,autor,@rosadiaz9235,,,,1,0.0,1,1
UC1vr9aaMI2crB0NvwFHUeoQ,autor,@JoseSimilox-p6e,,,,1,0.0,1,1
UC2Y_EHWQKevubk4vOEBBFxw,autor,@alfonsomorales2653,,,,1,1.0,1,1
UC2ngpd8UBQu4gcUYy0goAtg,autor,@juliohernandez7438,,,,1,0.0,1,1
UC2weSE8rpqkGMOp6StYtVfg,autor,@katerynsantiago2907,,,,1,1.0,1,1
UC32oozucwCF3q8d4m8fyOUg,autor,@RauldejesusOlivagonzalez,,,,1,0.0,1,1
UC3E9mAgP7VoAE5mZoAexl5g,autor,@EnnioAroche,,,,1,0.0,1,1
UC3MYTqpQqlWBuCB7Th0e0PA,autor,@isaaclopez7220,,,,1,4.0,1,1
UC3NMzdMYryaw82kPTnsaljg,autor,@marisosa7832,,,,1,0.0,1,1
UC3UVO7pTbeYvZ3ILEyRDskQ,autor,@rosaelenaargueta79,,,,1,1.0,1,1
UC3XTwHxygNCgjndsg-UiCQA,autor,@marioajset4283,,,,3,2.0,1,3
UC3YpzAr7pcdKC7BVFEpYzog,autor,@carmenfigueroa1232,,,,1,4.0,1,1
UC3iIU62XKUOWuqL8BqBzj9A,autor,@antonioduarte2288,,,,1,0.0,1,1
UC3qn1yJA5PeW9rkGPatQxiw,autor,@VICTOREST19,,,,1,7.0,1,1
UC4Avya4kmR4Q0FrfFdBozSQ,autor,@davidlima1348,,,,1,11.0,1,1
UC4cXueR2bKGFJV0Fk76gwmA,autor,@aluxdel4792,,,,1,0.0,1,1
UC4kg7zuTfqQKLd2bkZrSYBA,autor,@zoilagarcia9019,,,,1,0.0,1,1
UC4wq3DcbfaG6dtCqn8Oyu3w,autor,@hugoasencio7764,,,,1,1.0,1,1
UC5H8ASmMC9WrURmzeB4ySog,autor,@ManuelEdran,,,,5,6.0,1,5
UC5PrBbmUlQolwqmiru7yZhw,autor,@lazarochavez8269,,,,1,0.0,1,1
UC5PyGvSfFM--OVKmQ3COu6g,autor,@FreddyGmez,,,,1,3.0,1,1
UC5bG9nc_JV3FsNP2KseQiYw,autor,@giovannirodas4836,,,,1,2.0,1,1
UC5fvhAfm89JH8eDFdvc0xYw,autor,@isaidiaz2388,,,,1,0.0,1,1
UC5hvEnRUzI4Kfvwnyi4QxqQ,autor,@leonelsantizo5281,,,,1,2.0,1,1
UC5wuDq3U3vRAhOQI3D7gNdw,autor,@allanreneramirezgonzalez534,,,,1,2.0,1,1
UC63tFvbQ_hJhGDi2nbjssjw,autor,@AbigailRodas-w2r,,,,1,2.0,1,1
UC650pRT-OYzny3GwOH8Cgfw,autor,@edvinparedesherrera7632,,,,1,1.0,1,1
UC6PvO1_k5lHKGdAPo5_C6TA,autor,@johnmejia992,,,,1,1.0,1,1
UC6Uj1FT5JjDSF8vudvDxPAA,autor,@alfredoortega9264,,,,1,1.0,1,1
UC6YSZqL0vEcI-niPKIMUGfw,autor,@maxwellsales885,,,,1,2.0,1,1
UC6xI_MOaxajIWpoP8BH6E_Q,autor,@jahirdiaz5862,,,,1,0.0,1,1
UC72gBAtyb_VXQlYDcFrh6oQ,autor,@osmanmorales3012,,,,3,19.0,1,3
UC7IMsCxfZyWN7YQo8-JYa6Q,autor,@Burgos68,,,,2,1.0,1,2
UC7VUuJr9cGh845CmTvf7TlQ,autor,@LuisCastillo-oz4df,,,,1,1.0,1,1
UC7dadZG7kkGYnsNu6td0FbA,autor,@lesolorzano,,,,1,18.0,1,1
UC816IGbFCZinfYS1LRDaaHg,autor,@ingenieroar,,,,1,1.0,1,1
UC8F2V63KZ4ZEay6opX2hAQw,autor,@carmenr6311,,,,1,0.0,1,1
UC8G5cJONY8L9voMyBW8Eoug,autor,@luisparedes-pw6qt,,,,1,0.0,1,1
UC8r11yOugM2NuRfitQOxLLg,autor,@cesaraugustomoralesmonroy6907,,,,1,1.0,1,1
UC8xlJWNHz1V_W6q3fbuQH8g,autor,@NormaLópez-v7e,,,,1,1.0,1,1
UC95PSMouTx2N5CbSq0hIyrQ,autor,@lisss1908,,,,1,0.0,1,1
UC9Wp6vL5oCU37qC3Aj94WZA,autor,@ManuelSanchez-b8q2z,,,,1,0.0,1,1
UC9vMq1YF-e7C-VO0SHkbUTA,autor,@ErvinLeonardoCarreraLatín,,,,4,0.0,1,4
UC9xr9QvIcDvoZNUX5f-jaZw,autor,@MariaaliciaColonmorales,,,,1,0.0,1,1
UCA93ym2TXs_Ibyxb4Vcn-6Q,autor,@oswaldosolis8728,,,,1,0.0,1,1
UCAKuKvcbfnBD3kF5njNu-IA,autor,@melvinlopez7096,,,,1,0.0,1,1
UCAV7QIjYhbDJaycQycM_0eQ,autor,@mariavail8998,,,,1,3.0,1,1
UCAlzM_N6xBlMYmM8EBzX86Q,autor,@carlossoto3252,,,,1,3.0,1,1
UCAmtbUiIrUIhikru0ZoTFig,autor,@Aura-vf6dm,,,,1,7.0,1,1
UCAxvOOHQk7dYPOajzFEVtbA,autor,@ruddydepaz322,,,,2,0.0,1,2
UCB5p8a5gklc80jJItP6xTHg,autor,@ernestogamboa8737,,,,1,6.0,1,1
UCBlm80VQ4YoV3bUJR_XhkaQ,autor,@rosadiaz6945,,,,2,0.0,1,2
UCBtB5dIyx-C16UN8ClUD2UA,autor,@alexmonzon4257,,,,1,0.0,1,1
UCCBYcToQ2dwkd6TJh0FSyDg,autor,@lidiarodriguez3493,,,,1,0.0,1,1
UCCUmP4PlbwgikVFpYwbtRTg,autor,@alhvi,,,,1,3.0,1,1
UCCaYwkkbQGcvFoUmothVdQQ,autor,@OsvaldoAguirre-l3i,,,,1,0.0,1,1
UCDIMztpVm7G27qBuiWuT6oQ,autor,@lizardomorataya8274,,,,1,0.0,1,1
UCDPWkUX3sNNaCx-m1dV4glA,autor,@hectoroliva949,,,,1,0.0,1,1
UCDQaQv0hr2SS_PO-CMEwVHg,autor,@federicosaquimux1933,,,,1,1.0,1,1
UCDUffaruH6dyUnUGwsTKpgg,autor,@luisletona2842,,,,1,2.0,1,1
UCDftMWXQoJ6nONfY7GVOVjg,autor,@luisgpacheco5858,,,,1,0.0,1,1
UCDlr1VadSucIZgZ171pRBjQ,autor,@cuabatzjj5924,,,,1,0.0,1,1
UCDrmf9y9nLgFY5wnA2hTuGA,autor,@laboratorio5528,,,,1,1.0,1,1
UCEHXl4VvvVpq-_4xC5tsbhg,autor,@anibalg47,,,,1,7.0,1,1
UCEgEQmRbtL5fwr9_DqAC--g,autor,@ArielRodas-g5y,,,,1,2.0,1,1
UCErZPJpHmLCsXs8ZWkAUupQ,autor,@dorisl.garciaroche7763,,,,1,2.0,1,1
UCFFrEmn6lPYiWyElpfzTy5Q,autor,@denilsonlopez4083,,,,1,0.0,1,1
